Year,Month,Date,Region,CrimeType,CrimeCount
2020,1,2020-01-01,Khomas,Theft,154
2020,1,2020-01-01,Khomas,Assault,126
2020,1,2020-01-01,Khomas,Robbery,56
2020,1,2020-01-01,Khomas,Sexual Offence,41
2020,1,2020-01-01,Khomas,Housebreaking,117
2020,1,2020-01-01,Khomas,Fraud,45
2020,1,2020-01-01,Khomas,Car Theft,23
2020,1,2020-01-01,Khomas,Drug Related,77
2020,1,2020-01-01,Erongo,Theft,162
2020,1,2020-01-01,Erongo,Assault,112
2020,1,2020-01-01,Erongo,Robbery,65
2020,1,2020-01-01,Erongo,Sexual Offence,33
2020,1,2020-01-01,Erongo,Housebreaking,108
2020,1,2020-01-01,Erongo,Fraud,55
2020,1,2020-01-01,Erongo,Car Theft,23
2020,1,2020-01-01,Erongo,Drug Related,84
2020,1,2020-01-01,Oshana,Theft,141
2020,1,2020-01-01,Oshana,Assault,111
2020,1,2020-01-01,Oshana,Robbery,61
2020,1,2020-01-01,Oshana,Sexual Offence,40
2020,1,2020-01-01,Oshana,Housebreaking,126
2020,1,2020-01-01,Oshana,Fraud,55
2020,1,2020-01-01,Oshana,Car Theft,18
2020,1,2020-01-01,Oshana,Drug Related,58
2020,1,2020-01-01,Ohangwena,Theft,154
2020,1,2020-01-01,Ohangwena,Assault,131
2020,1,2020-01-01,Ohangwena,Robbery,60
2020,1,2020-01-01,Ohangwena,Sexual Offence,32
2020,1,2020-01-01,Ohangwena,Housebreaking,114
2020,1,2020-01-01,Ohangwena,Fraud,57
2020,1,2020-01-01,Ohangwena,Car Theft,31
2020,1,2020-01-01,Ohangwena,Drug Related,75
2020,1,2020-01-01,Oshikoto,Theft,69
2020,1,2020-01-01,Oshikoto,Assault,41
2020,1,2020-01-01,Oshikoto,Robbery,22
2020,1,2020-01-01,Oshikoto,Sexual Offence,18
2020,1,2020-01-01,Oshikoto,Housebreaking,49
2020,1,2020-01-01,Oshikoto,Fraud,14
2020,1,2020-01-01,Oshikoto,Car Theft,8
2020,1,2020-01-01,Oshikoto,Drug Related,32
2020,1,2020-01-01,Omusati,Theft,60
2020,1,2020-01-01,Omusati,Assault,39
2020,1,2020-01-01,Omusati,Robbery,29
2020,1,2020-01-01,Omusati,Sexual Offence,8
2020,1,2020-01-01,Omusati,Housebreaking,46
2020,1,2020-01-01,Omusati,Fraud,20
2020,1,2020-01-01,Omusati,Car Theft,7
2020,1,2020-01-01,Omusati,Drug Related,30
2020,1,2020-01-01,Kunene,Theft,53
2020,1,2020-01-01,Kunene,Assault,41
2020,1,2020-01-01,Kunene,Robbery,22
2020,1,2020-01-01,Kunene,Sexual Offence,17
2020,1,2020-01-01,Kunene,Housebreaking,35
2020,1,2020-01-01,Kunene,Fraud,17
2020,1,2020-01-01,Kunene,Car Theft,6
2020,1,2020-01-01,Kunene,Drug Related,23
2020,1,2020-01-01,Otjozondjupa,Theft,63
2020,1,2020-01-01,Otjozondjupa,Assault,39
2020,1,2020-01-01,Otjozondjupa,Robbery,23
2020,1,2020-01-01,Otjozondjupa,Sexual Offence,16
2020,1,2020-01-01,Otjozondjupa,Housebreaking,36
2020,1,2020-01-01,Otjozondjupa,Fraud,22
2020,1,2020-01-01,Otjozondjupa,Car Theft,9
2020,1,2020-01-01,Otjozondjupa,Drug Related,39
2020,1,2020-01-01,Kavango East,Theft,149
2020,1,2020-01-01,Kavango East,Assault,130
2020,1,2020-01-01,Kavango East,Robbery,67
2020,1,2020-01-01,Kavango East,Sexual Offence,30
2020,1,2020-01-01,Kavango East,Housebreaking,121
2020,1,2020-01-01,Kavango East,Fraud,49
2020,1,2020-01-01,Kavango East,Car Theft,29
2020,1,2020-01-01,Kavango East,Drug Related,82
2020,1,2020-01-01,Kavango West,Theft,48
2020,1,2020-01-01,Kavango West,Assault,45
2020,1,2020-01-01,Kavango West,Robbery,27
2020,1,2020-01-01,Kavango West,Sexual Offence,17
2020,1,2020-01-01,Kavango West,Housebreaking,36
2020,1,2020-01-01,Kavango West,Fraud,22
2020,1,2020-01-01,Kavango West,Car Theft,12
2020,1,2020-01-01,Kavango West,Drug Related,30
2020,1,2020-01-01,Zambezi,Theft,65
2020,1,2020-01-01,Zambezi,Assault,42
2020,1,2020-01-01,Zambezi,Robbery,34
2020,1,2020-01-01,Zambezi,Sexual Offence,20
2020,1,2020-01-01,Zambezi,Housebreaking,37
2020,1,2020-01-01,Zambezi,Fraud,17
2020,1,2020-01-01,Zambezi,Car Theft,14
2020,1,2020-01-01,Zambezi,Drug Related,35
2020,1,2020-01-01,Hardap,Theft,60
2020,1,2020-01-01,Hardap,Assault,51
2020,1,2020-01-01,Hardap,Robbery,28
2020,1,2020-01-01,Hardap,Sexual Offence,20
2020,1,2020-01-01,Hardap,Housebreaking,37
2020,1,2020-01-01,Hardap,Fraud,21
2020,1,2020-01-01,Hardap,Car Theft,5
2020,1,2020-01-01,Hardap,Drug Related,35
2020,1,2020-01-01,ǁKaras,Theft,49
2020,1,2020-01-01,ǁKaras,Assault,50
2020,1,2020-01-01,ǁKaras,Robbery,27
2020,1,2020-01-01,ǁKaras,Sexual Offence,15
2020,1,2020-01-01,ǁKaras,Housebreaking,40
2020,1,2020-01-01,ǁKaras,Fraud,24
2020,1,2020-01-01,ǁKaras,Car Theft,7
2020,1,2020-01-01,ǁKaras,Drug Related,23
2020,1,2020-01-01,Omaheke,Theft,60
2020,1,2020-01-01,Omaheke,Assault,48
2020,1,2020-01-01,Omaheke,Robbery,36
2020,1,2020-01-01,Omaheke,Sexual Offence,15
2020,1,2020-01-01,Omaheke,Housebreaking,38
2020,1,2020-01-01,Omaheke,Fraud,18
2020,1,2020-01-01,Omaheke,Car Theft,3
2020,1,2020-01-01,Omaheke,Drug Related,36
2020,2,2020-02-01,Khomas,Theft,143
2020,2,2020-02-01,Khomas,Assault,108
2020,2,2020-02-01,Khomas,Robbery,52
2020,2,2020-02-01,Khomas,Sexual Offence,34
2020,2,2020-02-01,Khomas,Housebreaking,100
2020,2,2020-02-01,Khomas,Fraud,45
2020,2,2020-02-01,Khomas,Car Theft,24
2020,2,2020-02-01,Khomas,Drug Related,76
2020,2,2020-02-01,Erongo,Theft,122
2020,2,2020-02-01,Erongo,Assault,129
2020,2,2020-02-01,Erongo,Robbery,57
2020,2,2020-02-01,Erongo,Sexual Offence,35
2020,2,2020-02-01,Erongo,Housebreaking,116
2020,2,2020-02-01,Erongo,Fraud,41
2020,2,2020-02-01,Erongo,Car Theft,16
2020,2,2020-02-01,Erongo,Drug Related,59
2020,2,2020-02-01,Oshana,Theft,122
2020,2,2020-02-01,Oshana,Assault,120
2020,2,2020-02-01,Oshana,Robbery,68
2020,2,2020-02-01,Oshana,Sexual Offence,28
2020,2,2020-02-01,Oshana,Housebreaking,100
2020,2,2020-02-01,Oshana,Fraud,53
2020,2,2020-02-01,Oshana,Car Theft,21
2020,2,2020-02-01,Oshana,Drug Related,79
2020,2,2020-02-01,Ohangwena,Theft,139
2020,2,2020-02-01,Ohangwena,Assault,103
2020,2,2020-02-01,Ohangwena,Robbery,70
2020,2,2020-02-01,Ohangwena,Sexual Offence,41
2020,2,2020-02-01,Ohangwena,Housebreaking,96
2020,2,2020-02-01,Ohangwena,Fraud,44
2020,2,2020-02-01,Ohangwena,Car Theft,22
2020,2,2020-02-01,Ohangwena,Drug Related,85
2020,2,2020-02-01,Oshikoto,Theft,50
2020,2,2020-02-01,Oshikoto,Assault,55
2020,2,2020-02-01,Oshikoto,Robbery,24
2020,2,2020-02-01,Oshikoto,Sexual Offence,11
2020,2,2020-02-01,Oshikoto,Housebreaking,39
2020,2,2020-02-01,Oshikoto,Fraud,11
2020,2,2020-02-01,Oshikoto,Car Theft,6
2020,2,2020-02-01,Oshikoto,Drug Related,31
2020,2,2020-02-01,Omusati,Theft,43
2020,2,2020-02-01,Omusati,Assault,44
2020,2,2020-02-01,Omusati,Robbery,14
2020,2,2020-02-01,Omusati,Sexual Offence,12
2020,2,2020-02-01,Omusati,Housebreaking,41
2020,2,2020-02-01,Omusati,Fraud,11
2020,2,2020-02-01,Omusati,Car Theft,6
2020,2,2020-02-01,Omusati,Drug Related,16
2020,2,2020-02-01,Kunene,Theft,44
2020,2,2020-02-01,Kunene,Assault,45
2020,2,2020-02-01,Kunene,Robbery,35
2020,2,2020-02-01,Kunene,Sexual Offence,11
2020,2,2020-02-01,Kunene,Housebreaking,25
2020,2,2020-02-01,Kunene,Fraud,30
2020,2,2020-02-01,Kunene,Car Theft,12
2020,2,2020-02-01,Kunene,Drug Related,22
2020,2,2020-02-01,Otjozondjupa,Theft,51
2020,2,2020-02-01,Otjozondjupa,Assault,41
2020,2,2020-02-01,Otjozondjupa,Robbery,27
2020,2,2020-02-01,Otjozondjupa,Sexual Offence,16
2020,2,2020-02-01,Otjozondjupa,Housebreaking,34
2020,2,2020-02-01,Otjozondjupa,Fraud,23
2020,2,2020-02-01,Otjozondjupa,Car Theft,10
2020,2,2020-02-01,Otjozondjupa,Drug Related,26
2020,2,2020-02-01,Kavango East,Theft,158
2020,2,2020-02-01,Kavango East,Assault,106
2020,2,2020-02-01,Kavango East,Robbery,78
2020,2,2020-02-01,Kavango East,Sexual Offence,31
2020,2,2020-02-01,Kavango East,Housebreaking,99
2020,2,2020-02-01,Kavango East,Fraud,38
2020,2,2020-02-01,Kavango East,Car Theft,24
2020,2,2020-02-01,Kavango East,Drug Related,72
2020,2,2020-02-01,Kavango West,Theft,55
2020,2,2020-02-01,Kavango West,Assault,49
2020,2,2020-02-01,Kavango West,Robbery,16
2020,2,2020-02-01,Kavango West,Sexual Offence,16
2020,2,2020-02-01,Kavango West,Housebreaking,40
2020,2,2020-02-01,Kavango West,Fraud,12
2020,2,2020-02-01,Kavango West,Car Theft,14
2020,2,2020-02-01,Kavango West,Drug Related,23
2020,2,2020-02-01,Zambezi,Theft,50
2020,2,2020-02-01,Zambezi,Assault,35
2020,2,2020-02-01,Zambezi,Robbery,16
2020,2,2020-02-01,Zambezi,Sexual Offence,9
2020,2,2020-02-01,Zambezi,Housebreaking,38
2020,2,2020-02-01,Zambezi,Fraud,16
2020,2,2020-02-01,Zambezi,Car Theft,5
2020,2,2020-02-01,Zambezi,Drug Related,23
2020,2,2020-02-01,Hardap,Theft,42
2020,2,2020-02-01,Hardap,Assault,40
2020,2,2020-02-01,Hardap,Robbery,20
2020,2,2020-02-01,Hardap,Sexual Offence,16
2020,2,2020-02-01,Hardap,Housebreaking,42
2020,2,2020-02-01,Hardap,Fraud,11
2020,2,2020-02-01,Hardap,Car Theft,8
2020,2,2020-02-01,Hardap,Drug Related,29
2020,2,2020-02-01,ǁKaras,Theft,53
2020,2,2020-02-01,ǁKaras,Assault,41
2020,2,2020-02-01,ǁKaras,Robbery,15
2020,2,2020-02-01,ǁKaras,Sexual Offence,14
2020,2,2020-02-01,ǁKaras,Housebreaking,32
2020,2,2020-02-01,ǁKaras,Fraud,14
2020,2,2020-02-01,ǁKaras,Car Theft,11
2020,2,2020-02-01,ǁKaras,Drug Related,23
2020,2,2020-02-01,Omaheke,Theft,57
2020,2,2020-02-01,Omaheke,Assault,42
2020,2,2020-02-01,Omaheke,Robbery,15
2020,2,2020-02-01,Omaheke,Sexual Offence,10
2020,2,2020-02-01,Omaheke,Housebreaking,30
2020,2,2020-02-01,Omaheke,Fraud,11
2020,2,2020-02-01,Omaheke,Car Theft,12
2020,2,2020-02-01,Omaheke,Drug Related,23
2020,3,2020-03-01,Khomas,Theft,132
2020,3,2020-03-01,Khomas,Assault,106
2020,3,2020-03-01,Khomas,Robbery,54
2020,3,2020-03-01,Khomas,Sexual Offence,38
2020,3,2020-03-01,Khomas,Housebreaking,98
2020,3,2020-03-01,Khomas,Fraud,48
2020,3,2020-03-01,Khomas,Car Theft,13
2020,3,2020-03-01,Khomas,Drug Related,61
2020,3,2020-03-01,Erongo,Theft,156
2020,3,2020-03-01,Erongo,Assault,114
2020,3,2020-03-01,Erongo,Robbery,62
2020,3,2020-03-01,Erongo,Sexual Offence,34
2020,3,2020-03-01,Erongo,Housebreaking,114
2020,3,2020-03-01,Erongo,Fraud,67
2020,3,2020-03-01,Erongo,Car Theft,19
2020,3,2020-03-01,Erongo,Drug Related,78
2020,3,2020-03-01,Oshana,Theft,158
2020,3,2020-03-01,Oshana,Assault,118
2020,3,2020-03-01,Oshana,Robbery,51
2020,3,2020-03-01,Oshana,Sexual Offence,42
2020,3,2020-03-01,Oshana,Housebreaking,97
2020,3,2020-03-01,Oshana,Fraud,57
2020,3,2020-03-01,Oshana,Car Theft,29
2020,3,2020-03-01,Oshana,Drug Related,69
2020,3,2020-03-01,Ohangwena,Theft,137
2020,3,2020-03-01,Ohangwena,Assault,108
2020,3,2020-03-01,Ohangwena,Robbery,72
2020,3,2020-03-01,Ohangwena,Sexual Offence,37
2020,3,2020-03-01,Ohangwena,Housebreaking,100
2020,3,2020-03-01,Ohangwena,Fraud,62
2020,3,2020-03-01,Ohangwena,Car Theft,21
2020,3,2020-03-01,Ohangwena,Drug Related,80
2020,3,2020-03-01,Oshikoto,Theft,55
2020,3,2020-03-01,Oshikoto,Assault,46
2020,3,2020-03-01,Oshikoto,Robbery,20
2020,3,2020-03-01,Oshikoto,Sexual Offence,16
2020,3,2020-03-01,Oshikoto,Housebreaking,37
2020,3,2020-03-01,Oshikoto,Fraud,24
2020,3,2020-03-01,Oshikoto,Car Theft,7
2020,3,2020-03-01,Oshikoto,Drug Related,31
2020,3,2020-03-01,Omusati,Theft,57
2020,3,2020-03-01,Omusati,Assault,41
2020,3,2020-03-01,Omusati,Robbery,20
2020,3,2020-03-01,Omusati,Sexual Offence,19
2020,3,2020-03-01,Omusati,Housebreaking,34
2020,3,2020-03-01,Omusati,Fraud,27
2020,3,2020-03-01,Omusati,Car Theft,10
2020,3,2020-03-01,Omusati,Drug Related,28
2020,3,2020-03-01,Kunene,Theft,52
2020,3,2020-03-01,Kunene,Assault,40
2020,3,2020-03-01,Kunene,Robbery,29
2020,3,2020-03-01,Kunene,Sexual Offence,14
2020,3,2020-03-01,Kunene,Housebreaking,23
2020,3,2020-03-01,Kunene,Fraud,22
2020,3,2020-03-01,Kunene,Car Theft,10
